cluster         t0      rt      a       b       c       tmin/t0 rcool      alphacool    
A133            3.61    1.42    0.12    5.00    10.0    0.27    57         3.88         
A262            2.42    0.35    -0.02   5.00    1.1     0.64    19         5.25         
A383            8.78    3.03    -0.14   1.44    8.0     0.75    81         6.17         
A478            11.06   0.27    0.02    5.00    0.4     0.38    129        1.60         
A907            10.19   0.24    0.16    5.00    0.4     0.32    208        1.48         
A1413           7.58    1.84    0.08    4.68    10.0    0.23    30         0.75         
A1795           9.68    0.55    0.00    1.63    0.9     0.10    77         1.03         
A1991           2.83    0.86    0.04    2.87    4.7     0.48    42         2.12         
A2029           16.19   3.04    -0.03   1.57    5.9     0.10    93         0.48         
A2390           19.34   2.46    -0.10   5.00    10.0    0.12    214        0.08         
RXJ1159+5531    3.74    0.10    0.09    0.77    0.4     0.13    22         1.68         
MKW4            2.26    0.10    -0.07   5.00    0.5     0.85    16         9.62         
USGCS152        3.24    0.59    0.01    0.27    0.8     0.37    31         3.24         
